date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20241206,250,660,50,-410,24396.0,0.37320116365825673
20241209,60,870,29,-810,23586.0,0.3170766119080751
20241210,878,48,33,830,24416.0,0.43181980008265247
20241211,812,102,45,710,25126.0,0.5148348593077282
20241212,618,280,61,338,25464.0,0.546355065086562
20241213,635,255,69,380,25844.0,0.5767419889012626
20241216,491,398,71,93,25937.0,0.5722990748746295
20241217,386,496,78,-110,25827.0,0.5478159200530621
20241218,583,306,71,277,26104.0,0.5674481211110083
20241219,214,684,62,-470,25634.0,0.5076043444846293
20241220,205,707,48,-502,25132.0,0.4561818639882214
20241223,719,188,54,531,25663.0,0.5173712093551018
20241224,392,485,84,-93,25570.0,0.5045725049694018
20241226,302,592,67,-290,25280.0,0.4742516142956891
20241227,115,808,38,-693,24587.0,0.4106774509952023
20241230,444,443,74,1,24588.0,0.427020404970247
20250102,455,427,79,28,24616.0,0.4431754251343868
20250103,691,206,64,485,25101.0,0.5026609108249624
20250106,630,259,72,371,25472.0,0.5401155483700301
20250107,446,428,87,18,25490.0,0.5346940819095752
20250108,460,411,90,49,25539.0,0.5335003557133035
20250109,364,521,76,-157,25382.0,0.511282006497839
20250110,463,410,88,53,25435.0,0.5147498412010331
20250113,262,640,59,-378,25057.0,0.47397089406067183
20250114,513,364,84,149,25206.0,0.49414867490627995
20250115,270,597,94,-327,24879.0,0.4609250403998849
20250116,600,281,80,319,25198.0,0.5009467181230717
20250117,435,448,78,-13,25185.0,0.49943617511830024
20250120,389,491,81,-102,25083.0,0.48900149865051007
20250121,388,487,86,-99,24984.0,0.48071551188288486
20250122,403,483,75,-80,24904.0,0.4760132866564871
20250123,191,700,70,-509,24395.0,0.4284410310884981
20250124,545,323,93,222,24617.0,0.4647026953145525
20250131,335,563,63,-228,24389.0,0.44803879161087395
20250203,96,825,40,-729,23660.0,0.38552892544295075
20250204,693,209,59,484,24144.0,0.455122335894565
20250205,590,303,69,287,24431.0,0.4924990546253302
20250206,599,282,81,317,24748.0,0.5265736254384731
20250207,291,601,70,-310,24438.0,0.49014809060538744
20250210,416,458,88,-42,24396.0,0.48757071777636546
20250211,472,410,80,62,24458.0,0.4962210222334352
20250212,333,555,74,-222,24236.0,0.4741808363728106
20250213,573,312,77,261,24497.0,0.5056857074175076
20250214,498,367,97,131,24628.0,0.5184196775875246
20250217,620,267,75,353,24981.0,0.5512497987271916
20250218,480,398,84,82,25063.0,0.5504220241812247
20250219,575,306,81,269,25332.0,0.5690120967632782
20250220,452,417,93,35,25367.0,0.5601259136714718
20250221,510,371,81,139,25506.0,0.5635371344031679
20250224,451,423,87,28,25534.0,0.5548973475364384
20250225,360,530,71,-170,25364.0,0.5275513538066262
20250226,545,337,79,208,25572.0,0.5439808953326116
20250227,322,566,73,-244,25328.0,0.5110048439289754
20250228,95,836,30,-741,24587.0,0.4366477480012581
20250304,311,594,56,-283,24304.0,0.41973841360826186
20250305,716,180,65,536,24840.0,0.4887145461989675
20250306,486,395,80,91,24931.0,0.5001566027047377
20250307,351,542,68,-191,24740.0,0.4806839678242876
20250310,408,469,84,-61,24679.0,0.47787276438655557
20250311,181,733,47,-552,24127.0,0.42699237714778254
20250312,511,354,96,157,24284.0,0.45676675313667753
20250313,333,540,88,-207,24077.0,0.44307157965165833
20250314,510,359,93,151,24228.0,0.469218832979979
